Sentence,grade
The best thing I tasted were the lambchops.,2
The spicy tuna and salmon are the best we've ever had.,2
"Even though its good seafood, the prices are too high.",2
"In addition, the food is very good and the prices are reasonable.",2
"Upon entering, we were greeted by the owners, Steven and Frederick, who went out of their way to be more than gracious hosts.",2
Been going here since it opened have seen the quality value decrease considerably.,0
"Meat dishes now adorn the selections, although there's still a large number of vegetarian-friendly choices.",1
Reasonable prices.,2
they bring service up a notch by offerng complementary amuse bouche to all tables and gave us a small dessert for our celebration.,2
"Try the crunchy tuna, it is to die for.",2
It won't break the bank but I also wouldnt come back for the food.,0
"All in all, this midtown gem instantly became one of my favorite sushi restaurants in the city.",2
It is a lot of fun with live entertainment and all kinds of Disney type special effects.,2
"if you're looking for perfect traditional sushi, go here - if you're looking for interesting combinations, try sushi of gari's (east side).",2
"No refills on fountain drinks, though.",0
Wow over 100 beers to choose from.,2
Be careful of portions - they're HUGE.,2
"The Steak Tartare is a great bet, they fix it for you at the table.",2
My first time there I happened not to like the Crab Croquette apt that i ordered and they were happy to change it for me without making no big deal.,0
Great for large groups and celebrations - our SUPER HAPPY waiter was the entertainment of the evening.,2
Did I mention the wine?,1
"Plus, on Wednesday nights the house wine is unlimited!",2
like saying her bread comes from a special bakery when we have seen her buying it dowtown manhathan.,0
The dim sum servings here are a bit larger than I'm used to.,1
"However, in the summer of 2003, it seems the management has changed and the great big door has been replaced for a glass front ridding itself of the dark romantic getup.",1
We won't go to this place again for a good meal.,0
"Barbecued codfish was gorgeously moist - as if poached - yet the fabulous texture was let down by curiously bland seasoning - a spice rub might have overwhelmed, however herb mix or other sauce would have done much to enhance.",2
"After dinner, take your date to the HUGE dance floor, probably one of the biggest you'll see in NY.",2
Taj Mahal offeres gret value and great food.,2
Has the chef and owner changed???,1
My boyfriend and I recently had an early dinner at Artisanal and was satisfied with our experience.,2
"But don't ever order bacon late at nite (either platter or in sandwiches, for that matter don't from any take out place) as it is from the morning frying turns out hard almost like bacos, hurt my molars.",0
"Outstanding Bagels, but you get what you pay for.",2
"Pizza - the only pizza in NYC that should not have additional toppings - the crust tastes like the best, freshly baked bread!",2
"I found it on a cold night, the perfect spot to warm up.",2
They even have a section in the menu called American Chinese food!,0
"Service was warm and attentive, beef carpaachio was exellent (huge portion) and pasta was fresh and well-prepared.",2
kalbi and nebbiolo do work together.,1
"Best Italian food I ever had (and being Italian, that means alot).",2
I will recommend Scopa to all of my friends for a place to go for wonderful Italian food.,2
Located at the end of a magnificent block.,2
"Looking around, I saw a room full of New Yorkers enjoying a real meal in a real restaurant, not a clubhouse of the fabulous trying to be seen.",2
They don't walk around with the trays of Dim Sum.,1
"Great bar, most gorgeous bartenders you've ever seen (specifically the blond lady).",2
We were planning to get dessert but the waitress basically through the bill at us before we had a chance to order.,1
I really loved the different and inovated touch that's the cheff gives to the food.,2
They came out over cooked and the cheese was almost non existant.,0
"I had a terrific meal, and our server guided us toward a very nice wine in our price range, instead of allowing us to purchase a similarly priced wine that wasn't as good.",2
"The svc can be a bit rude at times, esp if you have big group, but overall the restaurant is a must!",0
"The food is good, especially their more basic dishes, and the drinks are delicious.",2
But the main hit was the whole grilled fish.,2
"I had the tuna tartare with sake, mushroom ravioli with pinot noir, and the chocolate sampler with a dessert wine for $49.",2
On a hot day it was fabulous to stop in and enjoy lunch.,2
The food is delicious and beautifully prepared along with the friendly and personable service.,2
I usually go there later at night when I get off work so I don't have to deal with crowds or lines.,0
Pizza here is consistently good.,2
We had a great tiem watching the shows and characters and ar food was just what we were looking for.,2
"After 2 tries by the waiter to take it away (we hadn't even looked at it yet, we had full beers yet to drink), the manager approached and told us they needed the table for people with reservations.",0
Wouldn't recomend it for dinner!,0
Sauce was watery and the food didn't have much flavor.,0
My husband and I enjoy Sangria.,2
"But after last night, Spice Grill is the only place I'm eating indian cuisine.",2
We both opted for a pasta dish and they were served timely and fresh.,2
"First the wrong bread came out with the appetizer, then when i tried to order a second glass of wine for my main course...",0
"Not sure where the previous reviewer, lonk, dined, but Saul is in a great neighborhood and has great food!",2
"In an area sadly lacking in decent Thai food, this is one of the best spots.",2
Tell them Herky sent you and get a free confused look from the waiter.,0
Make reservations but expect to be delayed 15-20 minutes as the hosting staff was having difficulty seating guests who arrived with a reservation because they probably had a lot of walk ins being so close to Time Square.,0
The food was average or above including some surprising tasty dishes.,2
They don't seem to place an emphasis on specials or fresh ingredients which to me is necessary for good thai.,0
Other apetizers and food,1
The noodle and rices dishes taste great.,2
The food's as good as ever.,2
"The crust is thin, the ingredients are fresh and the staff is friendly.",2
Also a little more expensive than your average bagel place.,1
"the food was undercooked-the sauce watery, and the vegetables raw.",0
And the fried clams had just enough kick to them to make 'em worth eating.,2
The sauces used are also not that exciting.,0
The secret is the lunch menu which offers a complimentary appetizer with every entree ordered.,2
The rice was poor quality and was cooked so badly it was hard.,0
We had champagne and caviar and felt like princesses!,2
The shrimp scampi was excellent and the antipasti were plentiful.,2
"When my dessert came, there was a candle in it - not because anyone asked for one - but because the waiter must have seen me opening my birthday card and gift, and said he knew it was a special occassion of some sort.",1
"I got the $10 10-piece dim sum combo, every bite of which was great.",2
There is also very limited seating and there can be a substantial wait in getting food at peak times.,0
"If it's just a quick martini at the bar (which I recommend Jeffery's) or a mind blowing Roast Chicken, go to Village!",1
"There was a long wait for a table outside, but it was a little too hot in the sun anyway so our insde table was very nice.",1
The prices are wonderfully low.,2
If you like spicy food get the chicken vindaloo.,1
I have never been disappointed but their true strength lays in their amazingly delicious and cheap lunch specials.,2
"So much more than the usual bar food, go there to enjoy the menu while sampling one of their hand-crafted beers.",2
No free drink.,1
This is my first time writing a review for a restaurant because the food and service was excellent.,2
"While they keep the capex to a minimum, they do put some cash into the bagels, because they among the best in the city.",2
The two star chefs left quite some time ago to open their own place.,1
Don't waste money on decor.,1
They also have a back garden open in the summer - cute and French with outdoor seating - what more could you ask for?,2
I have never before eaten 40 pieces of relatively good nigiri.,1
"Given the incredible architecture surrounding it, this place has no character.",2
I'd call it an 'italian dinner'.,1
"While the place is not a hotspot hangout, the drinks are unique and pack a lot of bang for the buck.",2
Have frequented 'ino for several years and the food remains excellent.,2
"Their eggplant is so delicate, sweet tender!",2
"Each bite of food at Kai was indeed delicious, fresh, and elegant.",2
all the food was excellent - considering the quality of food in most moderately priced restaurants is mediocre this was slightly more pricey and well worth it.,2
My friend got the mushroom pizza which tasted better.,2
"I had the cod with paella (spicy and very filling, I'm a big eater and could only eat half) while my boyfriend had the classic fish and chips (again, a big serving - at least 5 pieces of fish and a basketful of fries).",0
"It's a shame that a nice, convenient place like the Pink Pony can be so ruined by lousy service.",2
You should pass on the calamari.,0
"The porcini mushroom pasta special was tasteless, so was the seafood tagliatelle.",0
Try the spicy wontons and the salt pepper shrimps.,2
THE FOOD PORTIONS ARE REALLY LARGE.,2
The fries are yummy.,2
"Friendly and informative staff, very attentive and prompt raw bar service.",2
Best Taiwanese food in NY!,2
This place is a great stop for great food.,2
All the pastas are fantastic and the homemade lasagna is some of the best that I have had in the City.,2
"We laughed when he finally offered us a dessert menu and we left a 10 percent tip, which was generous, I feel.",1
And the prices were way to high for what you get.,0
The staff ignored my friends and I the entire time we were there.,0
"Yet paired with such rude service, would never recommend for anyone interested in carrying any kind of conversation while there.",0
"The in-house lady DJ on Saturday nights has outrageously good taste in music, and moreover, takes requests.",2
"I need at least three rolls to be full, and that's at least $14.00!",1
"Great wine list, reasonably priced.--Sara",2
The hot dogs were cold in the middle and the buns were stale.,0
"While the food was excellent, it wasn't cheap (though not extremely expensive either).",2
Beef noodle soup is good as well.,2
Delivery service is great too.,2
"The food's dazzling flavors overwhelm the palate, truly embracing the beauty of authentic Thai cuisine.",2
I recieved prompt service with a smile.,2
They pray to their Food Gods to make them into a good pizza like VT's.,0
The place was quiet and delightful.,2
The food is a diamond in rough -- the food is delicious and homemade with the perfect balance of herbs and tomatoes.,2
"As much as I like the food there, I can't bring myself to go back.",2
It looked like shredded cheese partly done - still in strips.,0
The prices and ambience are especially great considering it's in the West Village.,2
The soup is pretty good too.,2
It is so easy to get a reservation at a top place in NYC with a week's notice.,2
I have never better enjoyed humble root vegetables or a mushroom consomme - and this chef accomplishes without fats.,2
"If you go to Roth's try to be served by Mike, he is GREAT!!",2
"not the food ,not the ambiance , not the service, I agree with the previous reviews you wait and wait , the wait staff are very rude and when you get in they are looking to get you right out .",1
I always get the Shabu-Shabu dinner and the beef is always fresh.,1
The pizza was delivered cold and the cheese wasn't even fully melted!,0
We were very surprised by how good the food was on our first visit here on a Sunday night.,2
"Nha Trang, while being notorious for utter lack of comfort and decor, horribly slow wait staff and horribly quick meals, is one of the best vietnamese restaurants i've ever been to. the pho is delicious and comes with very fresh vegtables.",0
"On the other hand, if you are not fooled easily, you will find hundreds of restaurants that will give you service and ambiance that is on par with Alain Ducasse, and food that will outshine in presentaion, taste, choice, quality and quantity.",1
I live in the neighborhood and my friends meet me down here not only for the bar scene but also the promise of The Pizza Place at 3am.,2
"If I could rate the people this place would be off the charts - unfortunately - the pizza, sorry - not the best in NYC.",2
The food is amazing!!!!,2
"Having not been home in the last 2 years may skew this reviewer a bit, but the food was tasty and spicy sans the oil that comes floating along at similar venues.",2
"The portions are now very small, the sauces are overly-ambitious usually inedible while the service is still good, the restaurant, due to its popularity, seems frantic.",0
"For the price, you cannot eat this well in Manhattan.",2
"The owner is very friendly and a great guy, go try his pizza, you'll like it!",2
The atmosphere is great!!!,2
"With so many good restaurants on the UWS, I don't need overpriced food, absurdly arrogant wait-staff who don't recognize they work at a glorified diner, clumsy service, and management that doesn't care.",0
"I tend to judge a sushi restaurant by its sea urchin, which was heavenly at sushi rose.",2
The service is a little scatty at times but all is forgiven when the food arrives.,0
"The bruscetta is a bit soggy, but the salads were fresh, included a nice mix of greens (not iceberg) all dishes are served piping hot from the kitchen.",0
"The atmosphere isn't the greatest , but I suppose that's how they keep the prices down .",1
The pickles were great addition.,2
"If your favorite Chinese food is General Tao chicken, then this is NOT your place.",0
You must try the shrimp appetizers.,2
"Not only is the cuisine the best around, the service has always been attentive and charming.",2
"The production is a symphony, alot of fun to experience.The food sublime for the most part.",2
"Waiters tend to forget drinks completely, food portions are so tiny, two people have trouble sharing one entree.",0
The cold appetizer dishes taste like the way I remember them to taste when I was growing up in Taiwan.,2
"The restaurant was packed at first, so we waited at the bar for about 20 minutes before we were seated.",1
"Interesting selection, good wines, service fine, fun decor.",2
Any if you have a reservation you'll wait for max 5 minutes - so have a drink at the bar.,2
"Whether it's the parmesean porcini souffle or the lamb glazed with balsamic vinegar, you will surely be transported to Northern Italy with one bite.",2
The food at this place is 'gourmet' Indian cuisine.,1
But the thing that my wife and I hated was it was so loud and it felt like 'bar' or 'pub'.,0
"While there are plenty of places to go for a good corned beef sandwich, Katz's has a charm about it.",2
"However, looking at the table next to ours, we both sort of wished we had ordered pizza, which looked PERRRRRRRRRFECT.",2
Priced at upper intermediate range.,0
"If you live in new york city, you'll find better food at small restaurants outside of time square and spend half the amount.",0
Try the olive cream cheese or the lox spread on a whole wheat everything bagel.,2
"they didn't disappoint, service from the second i arrived at the door was extremely pleasant and attentive with almost one server per table.",2
I don't know who they think they are but they have no respect for the residents of the neighborhood ever since they opened their cabaret next door and blasts loud music till three in the morning every weekend during the summer.,0
The rice to fish ration was also good--they didn't try to overpack the rice.,2
They used shredded cheese on top!,1
The food is great and they have a good selecion of wines at reasonable prices.,2
"The only positive was the wait staff, which was prompt, knowledgable, and likeable.",2
I couldn't reccommend their Godmother pizza any higher.,2
"I am not a vegetarian but, almost all the dishes were great.",2
I was very impressed by this low-key upper eastsider and their authentically thai cuisine!!!,2
"For the location, the prices are very reasonable.",2
The food is okay and the prices here are mediocre.,1
My friend's food was also the complete opposite of what it's supposed to taste like (aND look like).,0
I ordered the crab cocktail and it was soaked in a lime juice concoction where all you could taste was the lime.,0
I would like to return and try some of the other menu items when I don't have to rush off to a show.,2
"We have been to this place many times, and always have great food, wine, and service.",2
"Hopefully next time, I will save room for dessert.",1
"Not a typical pizza joint, but good for a low key and fairly cheap nice sit down dinner.",2
The corned beef was tender and melted in my mouth.,2
"The best Chicken pad tai, I've ever had.",2
$20 for all you can eat sushi cannot be beaten.,1
"Haru serves very fresh fish, has a trendy, modern ambiance, prime location on Park Avenue South and friendly service.",2
Warm and friendly in the winter and terrific outdoor seating in the warmer months.,2
"Very romantic fires - I've literally spent hours at Lanterna, drinking wine from their extensive wine and enjoying the ambience.",2
We got a little tipsy from the sake but isn't that what Saturday nights with the girlfriends are all about?,1
"I almost wanted to write a bad review, so no one would ever go here and I could have all the dumplings to myself!",2
"Always a nice crowd, but never loud.",2
"My turkey burger was not cooked at all, my friends salmon was completely raw.",0
Decor is minimalist and clean - nothing to distract or commend.,1
"His drinks are very inventive, delicious and classy.",2
"Great food, great prices, great service.",2
This isn't your corner Chinese food takeout.,1
Awsome Pizza especially the Margheritta slice.,2
"This place, however, has a lot less pretension than Joya and the Thai food is still above-average.",2
"Try ordering from the regular menu, then you would not regret!",2
"Told us to sit anywhere, and when we sat he said the table was reserved.",0
"uni from maine vs california, sea vs freshwater eel) to get a good taste comparison.",1
"We started with lox and mussels (the best ive ever had, ever) and had the cod and trout for dinner.",2
"The crispy chicken wasn't for us, though.",0
Food is great.,2
I recommend the meatballs and caprese salad and the beans on toast were a wonderful start to the meal!,2
This place is incredibly tiny.,0
"I didn't complain, I liked the atmosphere so much.",2
In reality (to maximize potential diners) they were still taking phone reservations and reallocating tables of those waiting in the lobby.,1
"The wine is always good, the tapas are always yummy, especially with the warm pita bread.",2
"But when you are seated the waitresses are great, they explain everything on the menu, and the price of the food is really cheap for the service you get.",2
I've been to several places for Dim Sum and this has got to be the WORST.,0
"The freshest, best variety, and the fastest delivery.",2
Go to Volare for 1st class service and terrific food.,2
"It's super-trendy and there's always someone to take that empty seat, so it seems that customer service has been deemed not of the essence.",2
Dinner took almost 4 hours without any lag time.,0
The people in the restaurant were pretty obnoxious and loud.,0
"The sandwiches are dry, tasteless and way overpriced.",0
Price no more than a Jersey deli but way better.,2
The fried rice is really good too.,2
We were well attended to by the enthusiastic staff especially the manager Tony Gaskin who made excellent suggestions for our menu selections.,2
Made my dining experience uncomfortable.,0
"still stay away, the table next to us walked out after my table and aanother were serves eventhough they were there much longer...",0
I was with a party of 7 (close but not next the the front doors) and we were eating with our coats on.,1
"A very inviting restaurant, with friendly service.",2
"THe back garden sitting area is very pleasant, where you can see their personal herb garden.",2
"Good French restaurant in an area devoid of decent restaurants unless you're into eating 4 pound pastrami sandwiches at Katz' Deli, or Mexican food which is supplied by capable restaurants.",1
The drinks are always welll made and wine selection is fairly priced.,2
We also had shared a house salad that was fresh.,2
The ceiling is amazing!,2
And at the conclusion of this culinary nightmare the check was given to our table by knocking over a glass of water.,1
Not a small feat for good french food in the area.,2
"The space is a bit too small for live music, so on  jazz nights, it can be loud and cramped.",1
Food was average but tasty.,2
Big Wong gets big Ups for a fine establishment.,2
"The entree was bland and small, dessert was not inspired.",0
The staff was the friendliest that have seen in New York.,2
"With the exception of our lemon salad that had so much pepper on it that our eyes started watering, the food here was decent, not great.",1
"The Pad thai, lad nar and various other dishes all look good on paper but, I've had better thai food in less asthetically pleasing places.",0
Delicious food at a great price but do not go here on a cold day and sit by the front door.,2
"my picks: Guizhou chicken, fish with hot bean source, fish fillet in spicy source (special menu).",2
"Overall, I'm still impressed that the place even exists and the prices are quite decent but then again, its Chinatown.",2
"Admittedly some nights inside the restaurant were rather warm, but the open kitchen is part of the charm.",2
Pizza was a little soggy.,0
"The food inludes famous scrumptious bombay style chaat such as bhelpuri, sevpuri and samosa chaats, as well as other great indian appetizers.",2
The Singapore Mai Fun had NO curry flavor whatsoever.,0
The only problem is that the manager is a complete incompetent.,0
The wine list is interesting and has many good values.,2
I'm still mad that i had to pay for lousy food.,0
This restaurant used to be our regular Thursday night dinner location.,1
Definite go if you're used to good Indian restaurant food from abroad.,2
"THR AT MOSHPHERE IS COMPACT, MODERN, YET COZY.",2
"By far, the best pizza in Manhattan.",2
"Decent Thai food in cute - though a bit dank - little Nolita hangout, BUT service terrible.",2
The waiter actually poured water on my hand and walked away.,0
"The food is mostly made from scratch, fresh and well prepared.",2
"Worse of all, $60 was erroneously added to our $80 bill.",0
"NO more reservations, expensive tips and annoying stuff.",2
Try the sea bass.,2
$20 gets you unlimited sushi of a very high quality- I even took a friend here from Japan who said it was one of the best sushi places in the US that he has been to.,2
Sushi wasn't anything spectacular for the price.,1
"During our meal, the management came over and checked on us and even bought us a round of drinks.",2
"But they don't have a toaster, which is strange.",0
"So, for good food i'd recommend it, but not for a fun night out.",2
The menu choices are similar but the taste lacked more flavor than it looked.,0
A must for all the Dosa lovers.,2
"The portions are HUGE, so it might be good to order three things to split (rather than one appetizer and entree per person) for two people.",2
The appetizers are just OK and the main courses were decidedly subpar.,1
Someone else recommended the dessert - we also left that.,0
The exotic food is beautifully presented and is a delight in delicious combinations.,2
The staff is very attentive and we can almost always get a table.,2
"Try the mediterranean salad, it is a true experience for your taste buds!!",2
People are always friendly.,2
The cream cheeses are out of this world and I love that coffee!!,2
"From the entrees to the sides to the drinks, everything was creatively prepared yet still simple.",2
Service was prompt and courteous.,2
It was not above ordinary and the beef version had cheap (undercooked) beef.,0
"Chance is a small cozy restaurant, with a romantic feel to it, the decor is great.",2
"It was nice and fresh, but I can't give it high scores on being authentic thai.",0
"Got club soda, filled with ice, no lime.",1
"Only wine and beer are served, but the house varities are actually quite good.",1
This place must have cost the owners afortune to build.,1
"Oh, and the complimentary pudding dessert was just enough- yummy!",2
we split a tasty vegetable samosa and the malai tikka wrap.,2
Knowledge of the chef and the waitress are below average.,0
We were walking around the village and went into this place just for some drinks.,1
Decent wine selection too.,2
"It saves walking in and waiting for a table in the often noisy, crowded bar at dinnertime.",0
I have to say I have never had a disapointing meal here.,2
Mine was a little burnt but still delicious with goat cheese and panchetta (raddichio was kind of bitter though).,2
"Disappointing food, lousy service.",0
"If you want a casual neighborhood bistro that has great food and excellent service, this is the place.",2
great place to go for a drink too because they have 100 kinds of beer.,2
"Over price, and small portions .",0
"Meanwhile, the bartender continued to pour champagne from his reserve after we had finished our bottle and we enjoyed an amuse of turnip soup with pureed basil, gratis.",2
The food was well prepared and the service impecable.,2
"BUt their best dish is thh Thai spiced curry noodles with shrimp - a dish that would cost $23.95 is most places, but it is $16 here.",2
"Good, dark atmosphere and the music is a nice touch.",2
"My husband said the portions were very small, but if my main course was good to eat the portion would've been fine for me.",0
But the thai is definitely not great -- bland and indistinguished.,0
"Great for groups, great for a date, great for early brunch or a nightcap.",2
Our friendly server made great food suggestions and also sent both the sommelier and the fromager to the table to help suggest different pairings for wine and cheese.,2
"Because we didn't have a reservation, we could only sit in the back garden, but it was great, secluded and perfect in nice weather.",2
Stuffing yourself with Japanese food is a rare thing.,1
While the food was good (certainly no Il Mulino) the service was horrendous.,2
Service is not what one would expect from a joint in this price category.,0
Our family never expected such incredible entertainment in a restaurant.,2
i would recommend reservations on weekends though.,1
Great pizza for lunch place.,2
The food was very expensive (we spent $160 for lunch for two) but extremely tasty.,0
We were a group of 8 and well seved.,2
"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese.",2
"I LOVE their spicy scallop roll, and my boyfriend consistently gets the sesame chicken.",2
"I'm no food critic, but I'd like to think I have a tiny bit of experience under my belt having lived in NY for the last 11 years.",1
I noted it was crossed off on the bill.,1
Best dish is nori-wrapped tuna.,2
The food was absolutely amazing!!,2
Some servers make you feel like they are doing you a favor to bring you the food.,0
"An excellent alternative to fast food joints and ordering in but, the food was slightly disappointing.",0
Mermaid Inn is an overall good restaurant with really good seafood.,2
The staff is also attentive and friendly.,2
The all you can eat deal is truly amazing here.,2
"That is a problem since we paid about 20 bucks a dish, and had to order 5 dishes to get a decent taste.",0
They were such a rip-off ($8.95 for four small meat patties in steamed buns) and not worth trying.,0
All of the pizzas are terrific and the price is even better!,2
"It is about FOOD and Ambiance, and imagine how dreadful it will be it we only had to listen to an idle engine.",0
The food was good too.,2
"Immediately after we paid, the waiter took the money and said, okay, you guys are outta here.",0
The dining room is quietly elegant with no music to shout over -- how refreshing!,2
"Admittedly, this is not the place for gigantic pieces of fish overflowing the plate (and thank goodness, in my opinion) but for simple, elegant sushi there is no better place in New York or anywhere in the US.",2
The menu seemed to have a wide variety of dishes for seafood lovers and interesting ways of preparing them.,2
The white bean brushetta to start was incredible and the pasta was phenomenal.,2
The rest of the menu is limited by everything is good eats.,2
The menu is nothing like the one on the website.,0
"Great food, great lay out and awesome service.",2
Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away.,0
We walked in on a Wednesday night and were seated promptly.,2
"The wait staff is very freindly, they make it feel like you're eating in a freindly little european town.",2
"The waitstaff are all very busy, it's not outstanding service, but I've never been dealt with rudely.",0
I have lived in Japan for 7 years and the taste of the food and the feel of the restaurant is like being back in Japan.,2
"They have it all -- great price, food, and service.",2
"The flavors are great, and the menu is extensive.",2
"The food was amazing, the service was so attentive and personable, and how about that ambience!",2
"This place has the best interior I have seen anywhere in the northside of W'burg, and will impress whoever you bring there.",2
The food has been consistant for years and it never lets you down.,2
I found the variety of the sashimi plate to be satisfying - fresh and yummy.,2
"And forget what you read under me, the atmosphere isn't that bad either.",1
"We couldn't carry our conversation as we were routinely interrupted by waitress and servants asking us to order and hinting that we're taking too much time -- amazing, we just sat down.",0
sometimes i get good food and ok service.,2
"It's a place for people who pay a lot for mediocre food, noise and a chance to be with their fellow bridge and tunnel folks.",1
"After complaining about the chicken dish, the manager came over to tell us that, no one had ever complained before, and that we just didn't know what the dish was supposed to taste like.",0
The food was spicy and delicious.,2
Went for a late weekday lunch.,1
Bartender was unable to tear himself away from friends at bar.,0
"Anyways, if you're in the neighborhood to eat good food, I wouldn't waste my time trying to find something, rather go across the street to Tamari.",2
Dahkin also offers prix fixe lunch and buffet.,2
This was my frist time at Cafe St. Bart's and I must say how delicous the food and the service was.,2
Went on a double date with friend and his girlfriend for a few drinks and appetizers.,1
Great place to grab a hot bagel on the way to work.,2
"It's like they took leftover chicken, poured oil and sprinkled pepper powder over it (the sauce was translucent and red).",0
"One would think we'd get an apology or complimentary drinks - instead, we got a snobby waiter wouldn't even take our order for 15 minutes and gave us lip when we asked him to do so.",0
"We actually gave 10% tip (which we have never done despite mediocre food and service), because we felt totally ripped off.",1
We were looking forward to nice glass of Sangria when we arrived.,2
I would highly recommand requesting a table by the window.,2
"While we enjoyed the food, we were highly disappointed by the poor service (waiter was not quite competent and SLOW service) and lack of remorse.",2
"The service, however, was a bright flower in a garden.",2
We've been to Grocery three times and not once has an item on the menu disappointed.,2
"The food is very good too but for the most part, it's just regular food, nothing special.",2
A touch more jalapeno heat for contrast and it would have been very good indeed.,2
Tried the pad see ew on the recommendation of the last reviewer since it's one of my favorite dishes.,1
"We ate out in the back patio, which is worth it as it's cool and the music is hear well there.",2
The location is perfect.,2
"Guacamole+shrimp appetizer was really great, we both had the filet, very good, didn't much like the frites that came with, but the filet was so good, neither of us cared.",2
The lunch special is an asbolute steal.,2
This food is asian-air fusion.,1
Nothing fancy but really good food with pretty reasonable price.,2
"The chicken pot pie is excpetiona, the cheeseburger huge and delictable, and the service professional wan warm.",2
"While I quite liked the food and the ambience, I'm not quite sure if it they really deserve it the Michelin rating they have displayed so prooudly in the window.",2
Once for dinner and once for brunch.,1
Not worth the prices.,0
From the moment you enter till the moment you walk out the friendly and helpful staff was was just Fantastic.,2
Service was good and food is wonderful.,2
She gets 10 for her excellent service and advice.,2
The restaurant is a bit noisy but that is something that can be overlooked once you sit down and enjoy a great meal,2
"being a fan of spicy ethnic foods, indian included, i made friends with this place long ago.",2
And I say snacking because it really is not set up to be a proper dinner.,0
The quality of food at this restaurant accompanied  by fantastic live jazz makes this place a perfect 10!,2
"I have eaten at Saul, many times, the food is always consistently, outrageously good.",2
(Always ask the bartender for the SEASONAL beer!!!,2
"If your visiting, you'll enjoy the ambiance and the fact that it's in Time Sq...",2
"We were on our way back to NJ, and since I am in NY, we figured why not grab some food?",1
Service and food is what any one would expect when spending that type of money.,1
LOVE the atmosphere - felt like I was in Paris.,2
Every course was better than the next.,2
The staff is incredibly helpful and attentive.,2
"If presentation and service is your thing, then this magic show works.",2
"Apparently, the good cook works then.",2
The Yellowtail was particularly good as well.,2
I ate clams oreganta and spectacular salad with perfectly marinated cucumbers and tomatoes with lots of shrimp and basil.,2
"The menu changed, portions were even smaller than before, a lentil dish was salty beyond edibility, a basmati rice dish lacked flavor.",0
"Spice is sleek, modern and cool with a menu that will not hurt your wallet.",2
Patroon features a nice cigar bar and has great staff.,2
Very affordable and excellent ambient!,2
"More important, the sushi rivals the best in Tokyo.",2
I have never had cheescake like this.,2
"My co-workers had to wait almost an hour for delivery, only to discover that what they got was not what they ordered.",0
Its a go-to for dates as well as entertaining out of town guests.,2
Why do people rave about the ambience.,0
Were meeting up with some friends for a drink at Lafayette 161 and happened to walk by Thai Angel famished.,1
"Fluke sashimi drizzled with jalapeno-lime olive oil, the fruit of the oil nicely highlighting the fish's sweetness.",2
Great sushi experience.,2
"If you're looking for a great meal at a decent price, go to Del Frisco's!",2
They charge $6.00 for rice.,0
My steak au poivre was one of the worst I've had.,0
The owner and staff are all Japanese as well and that adds to the entire ambiance.,2
"Try the congee and the donut like deep fried dough they call Ow Ley Soh, a delicious and sweet tasting bread.",2
"Although the tables may be closely situated, the candle-light, food-quality and service overcompensate.",2
The food was delicious and the waiter was incredibly helpful and attentive (considering we were the only ones there for the first hour).,2
"From the spectacular caviar to the hospitable waitstaff, I felt like royalty and enjoyed every second of it.",2
"Perhaps this food is considered extreme to an Upper East Side resident, but for the rest of us who've actually eaten ethnic food, this is simply dull.",0
The place was real empty but that was because this was the first Sunday they ever opened.,0
This little place definitely exceeded my expectations and you sure get a lot of food for your money.,2
"Ambience is delightful, service impeccable.",2
"Service was excellent, and the AC worked very well too (thank God, it was hot!).",2
You get the sense that the people there care about their restaurant and about your experience and that is very nice.,2
"Both are delicious, the cooks are friendly and are willing to take a moment and speak to you and shake your hand.",2
My friend ordered some of their special sushi rolls which had excellent presentation and tasted great!,2
Although be warned their dinner menu to sit and take out prices are different.,1
"The staff was accomodating, the food was absolutely delicious and the place is lovely.",2
"my picks are:  - Scallion Pancake (fried with vegetable juice, very special and tasty)  - Guizhou Chicken  - Shredded Squid Family Style (one of my personal favorites)  - Sichuan Spicy Soft Shell Crab  - Shuizhu Fish (this one is for hardcore Sichuan food fans, I wouldn't recommend to my American friends as it's very spicy.",2
They smell like they stuff them with old canned vegetables like the spinach mushroom calzone.,0
"To celebrate a birthday, three of us went to Mare anticipating great food.",1
There was a great deal for 6 Blue Point oysters and a beer or glass of wine for $8!,1
I really liked the noodle dishes at Rice Avenue compared to their Green Curry dish.,2
"But for whatever reason, prices are about twice as high.",0
I am relatively new to the area and tried Pick a bgel on 2nd and was disappointed with the service and I thought the food was overated and on the pricey side.,0
Great atmoshere and worth every bit.,2
"The spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!",2
The staff was knowledgeable and full of personality.,2
Great staff.,2
"Only complaint would be that at an average cost of $12-$15 per meal, I'd like not to have to worry about finding a seat!",0
"To finish off such a delightful dinner experience you must have dessert, especially the White Chocolate Bread Pudding with Gelato and hot chocolate.",2
The banana tower is an amazing dessert as well.,2
"Excellent atmosphere, delicious dishes good and friendly service.",2
A cool place to hang with your friends for a couple of healthy drinks and desserts.,2
"Great vibe, lots of people.",2
"I like Mamoun's food as well, but side by side, Kati Rolls just produce tastier food hands down.",2
"The service is a bit slow, but harkens back to my years growing up in Napoli, Italy where things are not rushed and when you sit down for dinner the table is yours all night.",0
